candidate_id,rank,score,reasoning
CAND_0041610,1,1.0,"Currently Recommendation Systems Engineer at Zoho. Moderate semantic alignment (0.58) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Elasticsearch, OpenSearch, Learning to Rank, and Embeddings. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0053605,2,0.8619,"Currently Senior Software Engineer (ML) at Verloop.io. Moderate semantic alignment (0.55) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: pgvector, Semantic Search, RAG. Available in 30 days, matching JD's sub-30-day preference."
CAND_0043676,3,0.8196,"Currently Senior Software Engineer (ML) at Observe.AI. Moderate semantic alignment (0.59) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Semantic Search, TensorFlow. Available in 30 days, matching JD's sub-30-day preference."
CAND_0026942,4,0.7961,"Currently Junior ML Engineer at Verloop.io. Moderate semantic alignment (0.57) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Learning to Rank, TensorFlow, Information Retrieval. Available in 30 days, matching JD's sub-30-day preference."
CAND_0042029,5,0.7652,"Currently Senior Data Scientist at Flipkart. High profile-to-JD semantic match (0.66) indicating strong retrieval/ranking alignment. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including PyTorch, NLP, RAG, and Elasticsearch. Positive: primarily product-company career trajectory."
CAND_0029439,6,0.7281,"Currently AI Specialist at Mad Street Den. Moderate semantic alignment (0.60) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Hugging Face Transformers, NLP, Machine Learning, and Fine-tuning LLMs. Positive: primarily product-company career trajectory."
CAND_0043228,7,0.6388,"Currently Applied ML Engineer at Zoho. Moderate semantic alignment (0.55) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including NLP, Hugging Face Transformers, Machine Learning, and Vector Search. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0096104,8,0.6226,"Currently AI Specialist at Yellow.ai. Moderate semantic alignment (0.61) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Hugging Face Transformers, Pinecone, Semantic Search. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0043860,9,0.5624,"Currently Junior ML Engineer at Aganitha. Moderate semantic alignment (0.56) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including pgvector, Semantic Search, Information Retrieval, and Deep Learning. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0073504,10,0.5298,"Currently Junior ML Engineer at PolicyBazaar. Moderate semantic alignment (0.59) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Elasticsearch, pgvector, RAG, and TensorFlow. Positive: primarily product-company career trajectory."
CAND_0007011,11,0.5005,"Currently Senior Data Engineer at Capgemini. Lower semantic overlap (0.49) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Embeddings, pgvector, Hugging Face Transformers. Available in 30 days, matching JD's sub-30-day preference."
CAND_0068811,12,0.4846,"Currently Applied ML Engineer at Freshworks. Moderate semantic alignment (0.55) with the Senior AI Engineer role. 8 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Vector Search, Qdrant, TensorFlow, and Embeddings. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
